grid_id,g_lat,g_lon,g_temp_median,g_temp_p25,g_temp_p75,g_rf_median,g_rf_p25,g_rf_p75,g_soil_light,g_soil_medium,g_soil_heavy
77,17.5,81.5,32.12409,29.889095,34.135735,1535.8285431000002,507.13583115000006,4686.620301,0.0,1.0,1.0
78,17.5,82.5,31.807941,29.529709,33.45028,1873.6742859,561.0635979,4643.117724,0.0,1.0,1.0
79,17.5,94.5,29.83015249929172,26.23699619007632,31.630971131443737,1206.8822085507231,366.4551618400803,2326.105862506398,0.0,1.0,1.0
80,17.5,95.5,29.65360995935155,26.0699991101806,31.427597793604715,1166.812590094125,358.3879810937212,1993.1161549012536,0.0,1.0,1.0
81,17.5,96.5,29.527136023860567,25.920548453917977,31.330910298821635,1135.9353188472571,352.4425721991452,1882.502126015692,0.0,1.0,1.0
82,17.5,97.5,29.417146469398627,25.768105159061967,31.44135998577677,1109.4552693700746,348.1958963642704,1758.5800006203156,0.0,1.0,1.0
83,17.5,98.5,29.35173959931769,25.64511923968749,31.60429779588712,1087.431307559866,346.4241309898933,1536.56958680476,0.0,1.0,1.0
85,18.5,73.5,31.40723,29.782299,33.38616,3529.103028,1530.1504008000002,8453.2953015,0.0,1.0,0.0
86,18.5,74.5,31.467245,29.91479,34.4132,1137.9206082,333.09893508,3654.729234,0.0,1.0,0.0
90,18.5,78.5,32.577965,30.895187,36.294674,1558.231275,350.40400068,4887.339093,0.0,1.0,1.0
91,18.5,79.5,31.907627,30.334597,35.716457,2050.9939842,402.89584695,4551.282468,0.0,1.0,1.0
92,18.5,80.5,32.191425,30.181664,35.164482,3184.77279,1144.9896237,6446.222946,0.0,1.0,1.0
93,18.5,81.5,31.94672,29.620039,34.028778,1663.396434,545.1711276,4752.326268,0.0,1.0,1.0
94,18.5,82.5,31.627033,29.413227,33.57382,1991.6509272,575.02811745,4280.4639705,0.0,1.0,1.0
95,18.5,83.5,31.630444,29.26559,33.593792,2216.924586,603.304518,4989.135954,0.0,1.0,1.0
96,18.5,94.5,29.67065553903369,26.081692083910564,31.44513062168887,1240.3069238234964,371.20392188509214,2372.081476863841,0.0,1.0,1.0
97,18.5,95.5,29.47831676754741,25.91291726789443,31.21271266522886,1195.8990524588564,362.21098257993,2014.8942668613,0.0,1.0,1.0
98,18.5,96.5,29.360452031819086,25.80637767283857,31.217634674823785,1160.740888649672,355.45907804936854,1840.906132720265,0.0,1.0,1.0
99,18.5,97.5,29.27623371747381,25.69931376981745,31.34467782073333,1131.8804830653485,350.6029462735988,1711.7503597432053,0.0,1.0,1.0
100,18.5,98.5,29.238211479472103,25.610206375824525,31.50102860233517,1108.5927268998246,347.99305766403404,1501.5802457719706,0.0,1.0,1.0
101,18.5,99.5,29.18959957231235,25.518911004999108,31.68222598182159,1103.413012659995,349.5998634905736,1344.0159137857625,0.0,1.0,1.0
102,19.5,73.5,31.642298,29.657116,34.090958,6005.897862,2537.8787700000003,12282.454919999998,0.0,1.0,0.0
103,19.5,74.5,32.338474,30.209667,36.137596,979.5533049,243.035895,2752.6363155,0.0,1.0,0.0
107,19.5,78.5,32.9052,30.812082,36.736904,1363.0669539,348.690034575,4698.894202500001,0.0,1.0,1.0
108,19.5,79.5,33.09053,30.82488,36.577873,1435.2966147,502.0250895,4589.7850275,0.0,1.0,1.0
109,19.5,80.5,32.025597,30.006086,35.342697,2262.83709,456.786666,6486.170015999999,0.0,1.0,1.0
110,19.5,81.5,31.766266,29.515484,35.23429,1750.7248392,580.98939735,4713.881811,0.0,1.0,1.0
111,19.5,82.5,31.38966,29.133179,34.08727,1722.1051764,604.5070293,5632.5175635000005,0.0,1.0,1.0
112,19.5,83.5,32.244385,29.873596,34.53193,1946.918151,661.7751042,5388.439941,0.0,1.0,1.0
113,19.5,84.5,32.391487,29.996765,34.83041,1305.7817502,374.4797442,3762.004566,0.0,1.0,1.0
114,19.5,94.5,29.50017029730816,25.93337734213059,31.269367094566245,1275.4541722863012,375.27275858892295,2417.2793821408504,0.0,1.0,1.0
115,19.5,95.5,29.30284710910826,25.7752442236099,31.051973974831384,1225.9564139006827,365.4911877533961,2048.9231772415783,0.0,1.0,1.0
116,19.5,96.5,29.190910230963045,25.68500580198368,31.141285490755816,1187.254803673356,358.11247344576776,1839.5398772536416,0.0,1.0,1.0
117,19.5,97.5,29.127608447015824,25.625637184762947,31.268413251949468,1154.6141850425963,352.75443742041125,1686.340626948618,0.0,1.0,1.0
118,19.5,98.5,29.11101237963564,25.569100683443672,31.42942496801353,1128.9824645853694,349.5229670450375,1460.8427164037662,0.0,1.0,1.0
119,19.5,99.5,29.09001055092268,25.49990073765901,31.58495013623358,1126.2866780860966,350.703788062236,1344.2477702413482,0.0,1.0,1.0
120,20.5,73.5,32.373695,30.354393,34.780853,2313.7351545,543.88971585,5589.307329,0.0,1.0,0.0
121,20.5,74.5,31.783573,29.586449,34.98456,295.5596766,104.69712369,3149.5003818,0.0,1.0,0.0
